"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/62f52e2aef06a711940ae1edc37ec438~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=79d42e9e&x-expires=1745582400&x-signature=0Onb1%2FKUe46FtxSFYnkLsMg7jV8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","fransmashurtam","RESTORANT FISH &CHEAP POINSQUER LEBAK BULUS JAKARTA SELATAN.  #fish&cheap #kuliner  #kulinertiktok  #kulinerindonesia  #kulinerviral  #kulinerjakartaselatan  #restaurant  #videoviral  #review  #reviewkuliner  #reviewmakanan  #reviewrestaurant  #ikangurame  #fyp ","37","0","217","1","115","suara asli - FRANS MASHUR TAM","FRANS MASHUR TAM","true","2025-04-23T11:44:50.000Z","https://www.tiktok.com/@fransmashurtam/video/7496473214869097733"
"https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7b000f543d4509a96a1643d779d3a91d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c33c3c41&x-expires=1745582400&x-signature=2zOaKO2Z6cRrY6TIv5jn%2FFjHpw8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","noona_rosa","Yedeura~ cempedak goreng enak bangettt sama koutie juga mirip manduu~ jadi rasanya familiar🥰 kalian suka jajan? Pastiii haha paling suka apa? Komen yaa  #noonarosa #indonesia #korean #kulinertiktok #serunyakuliner #reviewmakanan #인도네시아 ","8381","93","119100","55","89","오리지널 사운드 - Noona Rosa🇰🇷🇮🇩","Noona Rosa🇰🇷🇮🇩","true","2025-04-23T10:22:45.000Z","https://www.tiktok.com/@noona_rosa/video/7496452067930705207"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/6ad5eaca36df8476ac917d01f3765bf3~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=af506462&x-expires=1745582400&x-signature=0Z%2FUU8Nds7d%2BnYdn5sQ94qjZOwY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","soberbites","GOURMET SAUSAGE TEPI JALAN 🔥 📍Sober Bites Bertam @ Penang *OPENING SOON 30/4/25🔥*  📍Sober Bites Alor Setar @ Kedah 🕓5PM-1AM (tuesday close) *Sebelah WNS Homestay 2* 📍 Sober Bites Sg Petani @ Kedah 🕓5PM-1AM (open daily) *BASAH TEKAK 4.0* 📍 Sober Bites Sg Buloh @ Selangor 🕓5PM-12AM (tuesday close) *Bukit Rahman Putra* 📍Sober Bites Sri Gombak @ Selangor 🕓4PM-12AM (open daily) *Brapp Store* 📍Sober Bites Ijok @ Kuala Selangor 🕓5PM-11.30PM (wed close) *Sebelah KFC Ijok* 📍Sober Bites Kangar @ Perlis 🕓4PM-11PM (sunday close) *Sebelah Iklan Mico* 📍Sober Bites Sek 7 @ Shah Alam 🕓4PM-12PM (wed close) *Nazeem Corner* 📍Sober Bites Tampin @ Negeri Sembilan 🕓4PM-11PM (tuesday close) *Mama Nor Tampin* 📍Sober Bites @ Taman Setiawangsa 🕓4PM-12AM (wednesday close) 📍Sober Bites Kuantan @ Pahang 🕓6PM-11PM (sunday close) *Ngetey@Laman Umno* 📍Sober Bites Taman Tas @ Pahang 🕓5PM-11PM (monday close) *Taman Tas Kuantan* 📍Sober Bites Pandan Indah @ Ampang 🕓4PM-12AM (thursday close) *Jalan Pandan Indah 4/1* 📍Sober Bites Stulang Laut @ Johor Bahru 🕓6PM-1AM (wed close) *McDonalds Stulang DT #klfoodie #foodiesmalaysia #makananvira #foodhunter #reviewmakanan #hotdogviral #halalklfoodie #soberbites #soberbiteskuantan #soberbitesampang #soberbitesjb #soberbitesmeru #soberbitestampin #soberbitesshahalam #soberbitesperlis #soberbitesijok #soberbitesgombak #soberbitessgbuloh #soberbitessgpetani #soberbitesalorsetar #soberbitesbertam #MakanLocal #streetfood","279","54","11700","7","23","original sound","MelodyScript 🎵","true","2025-04-22T05:57:47.000Z","https://www.tiktok.com/@soberbites/video/7496012670273850645"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7b9ea4676523ac6cdf75cf9e925f1ef6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4752d4ae&x-expires=1745582400&x-signature=CWgeek5bKQ%2Fk4pIwiBKv6%2BXD%2BAI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","vinc.eats","Replying to @dillahgz makan aneka eskrim🍦🍦🍦 enak enak guyss #mukbang #mukbangeatingshow #eskrim #eskrimviral #asmr #foodasmr #asmrfood #makananviral #reviewmakanan #fypage #fypシ゚ #eatingsounds ","468","8","10100","52","54","Mozart Minuet with violin(815356)","松本一策","false","2025-04-23T11:08:40.000Z","https://www.tiktok.com/@vinc.eats/video/7496463903904304389"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/e728a3d2de046c5db32f86212c60a67f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=1230fa80&x-expires=1745582400&x-signature=d%2FoMVwLe6EIOxQyqYpc9V4npNY8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","bebbyrere28","tiba tiba banget dikirimin sama adekku,mana banyak lagii😍 #pasuruanjawatimur #kuliner #reviewmakanan #dimsum #dimsummentai #oladimsum ","64","3","1366","1","348","suara asli - BebbyReree28","BebbyReree28","true","2025-04-23T10:47:40.000Z","https://www.tiktok.com/@bebbyrere28/video/7496458482506337542"
"https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b3979253550821e7110ef2cccdef1798~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f8c59b3d&x-expires=1745582400&x-signature=PapI5lJ2TRmS%2BcOvqgWhIMO4jWo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","bukanlelakiidola","ALMAZ CHICKEN ni harus ada di Malaysia!!!, memang best!! #ReviewMakanan #Chiken #Almaz #Kuliner #FYP #indonesia #malaysia #PGC @Almazfriedchicken.urs ","7140","304","129100","119","309","original sound - Didie mohamed","Didie mohamed","true","2025-04-22T15:23:26.000Z","https://www.tiktok.com/@bukanlelakiidola/video/7496158468781427976"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7316726441691840513~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d9a32638&x-expires=1745582400&x-signature=8jwtzbdqH2UyjGaTJLLWOQQDeOc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","sibungbung","Show must go on … apalagi mau makan enakk …. Masakan Manado otentik yang layak rame nih …. Sebelumnya catering sudah 7 tahun, sekarang ada restonya …… #sibungbung #mukbang #reviewmakanan #kulinerviral ","27600","1098","536500","912","84","original sound - Sibungbung","Sibungbung","true","2025-04-23T08:47:05.000Z","https://www.tiktok.com/@sibungbung/video/7496427415481224455"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3243524f3d8b702912ec46545a316d4d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7b1c5cc9&x-expires=1745582400&x-signature=HB1tJp0oXn8QCgxKZV9Dp%2FVAk7k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","kokojagomakan","Sarapan enak, murah & puas modal Rp. 10.000 aja!  IG : pondok_pinggiran 06.00 - 11.00 📍 Jl. HM Suwignyo (Sebrang Jl. Kemakmuran / Oren Ponsel) #kokojagomakan #fyp #kulinerpontianak #pondokpinggiran #menusarapan #reviewmakanan ","113","30","2550","2","62","suara asli - KOKOJAGOMAKAN","KOKOJAGOMAKAN","true","2025-04-23T10:34:55.000Z","https://www.tiktok.com/@kokojagomakan/video/7496455202585758983"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7316726441691840513~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d9a32638&x-expires=1745582400&x-signature=8jwtzbdqH2UyjGaTJLLWOQQDeOc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","sibungbung","Makin lama makin aneh , sosis jamuran pun dimakan …. #sibungbung #mukbang #kulinerviral #reviewmakanan ","11600","159","501900","170","79","original sound - Sibungbung","Sibungbung","true","2025-04-22T12:00:17.000Z","https://www.tiktok.com/@sibungbung/video/7496106122118548744"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/0b576ed4aa512309ea1b4229c5ad741d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=37a8f667&x-expires=1745582400&x-signature=X8rwnNG2YH0P5%2Fa6%2FcXUYcThSYM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=useast8","ayuwisya666","Bakso solo samrat best memang ya. Selalu pesen yang plus rusuknya. Puas bgt 🤤🫶🏻✨ #ayuwisya #reviewmakanan #baksosolosamrat #baksosamrat ","99400","3380","1700000","687","270","suara asli - Ayu Wisya","Ayu Wisya","true","2025-04-22T04:27:28.000Z","https://www.tiktok.com/@ayuwisya666/video/7495989407464328454"
